id,region,neighbourhood,room_type,price,number_of_reviews,availability_365,price_log,price_log_median,occupancy_proxy,occupancy_ord,reviews_log,popularity_score,potential_revenue_score
627905944435622637,Central,Vadhana,Entire home/apt,717,3,266,6.576469569048224,7.460202536033221,0.27123287671232876,2,1.3862943611198906,3,44.761215216199325
627965657011082248,Central,Vadhana,Entire home/apt,810,0,89,6.698268054115413,7.460202536033221,0.7561643835616438,3,0.0,1,22.380607608099663
627968529240030723,Central,Vadhana,Entire home/apt,1156,0,89,7.053585727193677,7.460202536033221,0.7561643835616438,3,0.0,1,22.380607608099663
627971575472501479,Central,Vadhana,Entire home/apt,4680,0,89,8.45126704130007,7.460202536033221,0.7561643835616438,3,0.0,1,22.380607608099663
627975274583935511,Central,Vadhana,Entire home/apt,1712,0,89,7.44600149832412,7.460202536033221,0.7561643835616438,3,0.0,1,22.380607608099663
628444950434402690,Central,Vadhana,Entire home/apt,2946,8,59,7.988542982737695,7.460202536033221,0.8383561643835616,3,2.1972245773362196,3,67.14182282429898
628589661232300383,Central,Vadhana,Entire home/apt,3266,19,57,8.09162741160107,7.460202536033221,0.8438356164383561,3,2.995732273553991,3,67.14182282429898
628953662975006313,Central,Vadhana,Entire home/apt,3893,9,161,8.267192185932146,7.460202536033221,0.558904109589041,3,2.302585092994046,3,67.14182282429898
629518120904188569,Central,Vadhana,Entire home/apt,2528,7,159,7.835579246669965,7.460202536033221,0.5643835616438356,3,2.0794415416798357,3,67.14182282429898
629548451991116227,Central,Ratchathewi,Entire home/apt,1791,0,176,7.491087593534876,7.460202536033221,0.5178082191780822,3,0.0,1,22.380607608099663
629561083119358713,Central,Ratchathewi,Entire home/apt,1791,4,176,7.491087593534876,7.460202536033221,0.5178082191780822,3,1.6094379124341003,3,67.14182282429898
629583477355567890,Central,Ratchathewi,Entire home/apt,1791,0,176,7.491087593534876,7.460202536033221,0.5178082191780822,3,0.0,1,22.380607608099663
629729032363158170,Central,Vadhana,Entire home/apt,2100,14,150,7.650168700845001,7.460202536033221,0.589041095890411,3,2.70805020110221,3,67.14182282429898
629918850742437940,Central,Ratchathewi,Entire home/apt,1791,13,176,7.491087593534876,7.460202536033221,0.5178082191780822,3,2.6390573296152584,3,67.14182282429898
629928309612478228,Central,Ratchathewi,Entire home/apt,1791,1,177,7.491087593534876,7.460202536033221,0.5150684931506849,2,0.6931471805599453,3,44.761215216199325
629962115259957853,Central,Vadhana,Entire home/apt,5000,3,154,8.517393171418904,7.460202536033221,0.5780821917808219,3,1.3862943611198906,3,67.14182282429898
609675146316087654,Central,Vadhana,Private room,850,0,256,6.7464121285733745,7.313886831633462,0.29863013698630136,2,0.0,1,14.627773663266924
610399818027720763,Central,Khlong Toei,Entire home/apt,2720,36,82,7.908754738783246,7.460202536033221,0.7753424657534247,3,3.6109179126442243,3,67.14182282429898
610517479459717442,Central,Ratchathewi,Entire home/apt,1500,0,365,7.313886831633462,7.460202536033221,0.0,1,0.0,1,7.460202536033221
610696948184975116,Central,Khlong Toei,Entire home/apt,1200,0,60,7.0909098220799835,7.460202536033221,0.8356164383561644,3,0.0,1,22.380607608099663
611189613290697288,Central,Ratchathewi,Entire home/apt,3728,0,348,8.22389538017882,7.460202536033221,0.046575342465753455,2,0.0,1,14.920405072066442
611208195481113692,Central,Ratchathewi,Entire home/apt,3374,8,354,8.12415060330663,7.460202536033221,0.03013698630136985,1,2.1972245773362196,3,22.380607608099663
611847621050808356,Central,Khlong Toei,Entire home/apt,1247,10,330,7.129297548929373,7.460202536033221,0.09589041095890416,2,2.3978952727983707,3,44.761215216199325
611960270312911571,Central,Ratchathewi,Entire home/apt,3199,13,354,8.070906088787819,7.460202536033221,0.03013698630136985,1,2.6390573296152584,3,22.380607608099663
612502819036828912,Central,Vadhana,Entire home/apt,1800,42,318,7.496097345175956,7.460202536033221,0.12876712328767126,2,3.7612001156935624,3,44.761215216199325
618419408609533830,Central,Ratchathewi,Entire home/apt,650,0,267,6.478509642208569,7.460202536033221,0.2684931506849315,2,0.0,1,14.920405072066442
618472545086365826,Central,Ratchathewi,Entire home/apt,3600,1,0,8.188966863648876,7.460202536033221,1.0,3,0.6931471805599453,3,67.14182282429898
618475701978976804,Central,Vadhana,Entire home/apt,935,1,271,6.841615476477592,7.460202536033221,0.2575342465753425,2,0.6931471805599453,3,44.761215216199325
614062053950999538,Central,Vadhana,Entire home/apt,1450,4,337,7.280008252884188,7.460202536033221,0.0767123287671233,2,1.6094379124341003,3,44.761215216199325
614169078705309287,Central,Parthum Wan,Entire home/apt,1100,2,143,7.00397413672268,7.460202536033221,0.6082191780821917,3,1.0986122886681098,3,67.14182282429898
614284651992923546,Central,Vadhana,Entire home/apt,1200,15,102,7.0909098220799835,7.460202536033221,0.7205479452054795,3,2.772588722239781,3,67.14182282429898
