,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
4242,12956580,32317869,Vadhana,Central,Private room,599,1,0.0,Low,0.0,Low
4243,12957559,32317869,Vadhana,Central,Private room,560,1,1.212171009632604,High,0.07908005789038217,Moderate
4244,13350391,8444643,Vadhana,Central,Private room,1399,1,0.0,Low,0.0,Low
4245,13352188,75700663,Khlong Toei,Central,Private room,1000,2,1.371424246097035,High,0.12063309438331815,High
4246,13418165,8444643,Khlong Toei,Central,Private room,1399,1,0.814113811661196,Moderate,0.03626627760946124,Moderate
4247,13436611,43244379,Vadhana,Central,Private room,2000,2,0.0,Low,0.0,Low
4248,13592423,78463659,Ratchathewi,Central,Private room,2500,1,0.5715166463131642,Moderate,0.01902987306674122,Moderate
4249,12689221,68968669,Parthum Wan,Central,Private room,5500,2,0.5715166463131642,Moderate,0.009752640509747872,Low
4250,13595475,77328579,Ratchathewi,Central,Private room,2355,1,0.0,Low,0.0,Low
4251,13142743,73275200,Khlong Toei,Central,Private room,850,1,0.814113811661196,Moderate,0.027859197535202357,Moderate
4252,13599953,44159781,Khlong Toei,Central,Private room,866,1,0.0,Low,0.0,Low
4253,13196131,659899,Vadhana,Central,Private room,1100,30,0.0,Low,0.0,Low
4254,14233964,51783672,Vadhana,Central,Private room,879,4,1.592014803982405,High,0.23052776586704543,High
4255,13822884,81448303,Vadhana,Central,Private room,1400,28,1.5767518488044576,High,0.22367072706311236,High
4256,14307213,10322683,Vadhana,Central,Private room,1800,2,0.5715166463131642,Moderate,0.009752640509747872,Low
