,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
5711,Southwest,Yan na wa,100.53118,13.69726,Private room,1222,77,22,4.356708826689592
5712,Southwest,Chom Thong,100.46517,13.66145,Private room,2632,0,0,0.0
5713,Southwest,Bang Rak,100.53049,13.73204,Private room,3199,0,12,0.0
5715,Southwest,Bang Rak,100.53017,13.72969,Private room,3199,0,12,0.0
5716,Southwest,Bang Rak,100.52813,13.73044,Private room,3199,0,12,0.0
5717,Southwest,Bang Rak,100.52875,13.72989,Private room,3199,0,12,0.0
5718,Southwest,Bang Rak,100.52864,13.73012,Private room,3199,1,12,0.6931471805599453
5720,Southwest,Bang Rak,100.52819,13.72976,Private room,3199,8,11,2.1972245773362196
5721,Southwest,Bang Rak,100.52954,13.72988,Private room,3199,0,12,0.0
5731,Southwest,Rat Burana,100.49184,13.68757,Entire home/apt,825,11,197,2.4849066497880004
5734,Southwest,Bang Rak,100.52568,13.72362,Private room,2632,0,0,0.0
5752,Southwest,Bang Rak,100.51714,13.72125,Entire home/apt,2357,83,283,4.430816798843313
5760,Southwest,Bang Khae,100.37913,13.70556,Private room,1190,0,0,0.0
5761,Southwest,Bang Khae,100.37912,13.70555,Private room,1150,1,1,0.6931471805599453
5766,Southwest,Sathon,100.51442,13.7129,Entire home/apt,590,100,219,4.61512051684126
5768,Southwest,Bang Rak,100.51465,13.71984,Entire home/apt,2829,0,129,0.0
5769,Southwest,Thon buri,100.48926,13.72722,Private room,2632,0,0,0.0
5770,Southwest,Bang Khae,100.3792,13.70554,Private room,790,0,18,0.0
5771,Southwest,Bang Rak,100.52444,13.72685,Hotel room,1199,12,94,2.5649493574615367
5776,Southwest,Bang Rak,100.52475,13.72187,Entire home/apt,1500,0,275,0.0
5782,Southwest,Thung khru,100.50533,13.62804,Private room,2597,0,0,0.0
5787,Southwest,Bang Bon,100.42566,13.6768,Private room,2632,0,0,0.0
5795,Southwest,Samphanthawong,100.50194,13.7413,Private room,2000,0,284,0.0
5808,Southwest,Bang Kho laen,100.50874,13.70821,Entire home/apt,2701,0,0,0.0
